Date & Time,Inside Temp - °C,High Inside Temp - °C,Low Inside Temp - °C,Inside Hum - %,High Inside Hum - %,Low Inside Hum - %,Inside Dew Point - °C,Inside Heat Index - °C,Barometer - in Hg,High Bar - in Hg,Low Bar - in Hg,Absolute Pressure - in Hg,Temp - °C,High Temp - °C,Low Temp - °C,Hum - %,High Hum - %,Low Hum - %,Dew Point - °C,High Dew Point - °C,Low Dew Point - °C,Wet Bulb - °C,High Wet Bulb - °C,Low Wet Bulb - °C,Avg Wind Speed - km/h,Prevailing Wind Direction,High Wind Speed - km/h,High Wind Direction,Wind Chill - °C,Low Wind Chill - °C,Heat Index - °C,High Heat Index - °C,THW Index - °C,High THW Index - °C,Low THW Index - °C,Wind Run - km,THSW Index - °C,High THSW Index - °C,Low THSW Index - °C,Rain - in,High Rain Rate - in/h,Solar Rad - W/m^2,High Solar Rad - W/m^2,ET - in,UV Index,High UV Index,UV Dose - MEDs,Heating Degree Days,Cooling Degree Days
09-01-2023 00:00,34,34,34,61,61,61,25,42,29.76,29.76,29.76,29.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 00:05,34,34,34,60,61,60,25,42,29.76,29.76,29.76,29.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 00:10,34,34,34,60,61,60,25,42,29.76,29.76,29.76,29.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 00:15,34,34,34,60,60,60,25,42,29.76,29.76,29.75,29.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 00:20,34,34,34,61,61,60,25,42,29.76,29.76,29.76,29.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 00:25,34,34,34,61,61,60,25,42,29.76,29.76,29.75,29.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 00:30,34,34,34,61,61,60,25,42,29.75,29.76,29.75,29.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 00:35,34,34,34,60,61,60,25,42,29.76,29.76,29.75,29.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 00:40,34,34,34,60,61,60,25,42,29.75,29.76,29.75,29.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 00:45,34,34,34,60,61,60,25,42,29.75,29.75,29.75,29.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 00:50,34,34,34,61,61,60,25,42,29.75,29.75,29.75,29.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 00:55,34,34,34,61,61,60,25,42,29.75,29.75,29.75,29.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 01:00,34,34,34,61,61,61,25,42,29.75,29.75,29.75,29.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 01:05,34,34,34,61,61,61,25,42,29.75,29.75,29.74,29.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 01:10,34,34,34,61,61,61,25,42,29.74,29.75,29.74,29.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 01:15,34,34,34,60,61,60,25,42,29.74,29.75,29.74,29.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 01:20,34,34,34,61,61,60,25,42,29.74,29.74,29.74,29.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 01:25,34,34,34,61,61,61,25,42,29.74,29.74,29.74,29.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 01:30,34,34,34,61,61,61,25,42,29.74,29.74,29.74,29.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 01:35,34,34,34,61,61,61,25,42,29.73,29.74,29.73,29.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 01:40,34,34,34,61,61,61,25,42,29.73,29.74,29.73,29.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 01:45,34,34,34,61,61,61,25,42,29.73,29.73,29.73,29.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 01:50,34,34,34,61,61,61,25,41,29.73,29.73,29.73,29.71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 01:55,34,34,34,61,61,61,25,42,29.73,29.73,29.73,29.71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 02:00,34,34,34,61,61,61,25,41,29.73,29.73,29.73,29.71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 02:05,34,34,34,61,61,60,25,42,29.73,29.73,29.73,29.71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 02:10,34,34,34,60,61,60,25,42,29.73,29.73,29.73,29.71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 02:15,34,34,34,60,60,60,25,42,29.73,29.73,29.73,29.71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
09-01-2023 02:20,34,34,34,60,60,60,25,41,29.73,29.73,29.73,29.71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--
